"자형","코드",,,,,,,,
,,"대표음1","대표음2","대표음3","대표음4","대표음5","대표음6",,
"㐀","U+3400","구",,,,,,,
"㐁","U+3401","첨",,,,,,,
"㐂","U+3402","칠",,,,,,,
"㐃","U+3403","마",,,,,,,
"㐄","U+3404","과",,,,,,,
"㐅","U+3405","오",,,,,,,
"㐆","U+3406","은",,,,,,,
"㐇","U+3407","굴",,,,,,,
"㐈","U+3408","둘",,,,,,,
"㐉","U+3409","절",,,,,,,
"㐊","U+340A","살",,,,,,,
"㐋","U+340B","톨",,,,,,,
"㐌","U+340C","이",,,,,,,
"㐍","U+340D","뜰",,,,,,,
"㐎","U+340E","글",,,,,,,
"㐏","U+340F","올",,,,,,,
"㐐","U+3410","놀",,,,,,,
"㐑","U+3411","돌",,,,,,,
"㐒","U+3412","졸",,,,,,,
"㐓","U+3413","갈",,,,,,,
"㐔","U+3414","골",,,,,,,
"㐕","U+3415","율",,,,,,,
"㐖","U+3416","혈",,,,,,,
"㐗","U+3417","놀",,,,,,,
"㐘","U+3418","쌀",,,,,,,
"㐙","U+3419","둘",,,,,,,
"㐚","U+341A","올",,,,,,,
"㐛","U+341B","울",,,,,,,
"㐜","U+341C","구",,,,,,,
"㐝","U+341D","굴",,,,,,,
"㐞","U+341E","길",,,,,,,
"㐟","U+341F","빌",,,,,,,
"㐠","U+3420","율",,,,,,,
"㐡","U+3421","유",,,,,,,
"㐢","U+3422","뜰",,,,,,,
"㐣","U+3423","골",,,,,,,
"㐤","U+3424","단",,,,,,,
"㐥","U+3425","설",,,,,,,
"㐦","U+3426","들",,,,,,,
"㐧","U+3427","제",,,,,,,
"㐨","U+3428","서",,,,,,,
"㐩","U+3429","형",,,,,,,
"㐪","U+342A","협",,,,,,,
"㐫","U+342B","흉",,,,,,,
"㐬","U+342C","류","유",,,,,,
"㐭","U+342D","름","늠",,,,,,
"㐮","U+342E","양",,,,,,,
"㐯","U+342F","용",,,,,,,
"㐰","U+3430","신",,,,,,,
"㐱","U+3431","진",,,,,,,
"㐲","U+3432","대",,,,,,,
"㐳","U+3433","올",,,,,,,
"㐴","U+3434","반",,,,,,,
"㐵","U+3435","유",,,,,,,
"㐶","U+3436","사",,,,,,,
"㐷","U+3437","매",,,,,,,
"㐸","U+3438","자",,,,,,,
"㐹","U+3439","흘",,,,,,,
"㐺","U+343A","중",,,,,,,
"㐻","U+343B","내",,,,,,,
"㐼","U+343C","승",,,,,,,
"㐽","U+343D","풍",,,,,,,
"㐾","U+343E","원",,,,,,,
"㐿","U+343F","격",,,,,,,
"㑀","U+3440","태",,,,,,,
"㑁","U+3441","줄",,,,,,,
"㑂","U+3442","방",,,,,,,
"㑃","U+3443","요",,,,,,,
"㑄","U+3444","모",,,,,,,
"㑅","U+3445","작",,,,,,,
"㑆","U+3446","형",,,,,,,
"㑇","U+3447","추",,,,,,,
"㑈","U+3448","동",,,,,,,
"㑉","U+3449","숙",,,,,,,
"㑊","U+344A","역",,,,,,,
"㑋","U+344B","궁",,,,,,,
"㑌","U+344C","왕",,,,,,,
"㑍","U+344D","뢰","뇌",,,,,,
"㑎","U+344E","노",,,,,,,
"㑏","U+344F","저",,,,,,,
"㑐","U+3450","숙",,,,,,,
"㑑","U+3451","잠",,,,,,,
"㑒","U+3452","첨",,,,,,,
"㑓","U+3453","준",,,,,,,
"㑔","U+3454","수",,,,,,,
"㑕","U+3455","세",,,,,,,
"㑖","U+3456","중",,,,,,,
"㑗","U+3457","신",,,,,,,
"㑘","U+3458","개",,,,,,,
"㑙","U+3459","접",,,,,,,
"㑚","U+345A","나",,,,,,,
"㑛","U+345B","속",,,,,,,
"㑜","U+345C","절",,,,,,,
"㑝","U+345D","롱","농",,,,,,
"㑞","U+345E","잉",,,,,,,
"㑟","U+345F","팽",,,,,,,
"㑠","U+3460","수",,,,,,,
"㑡","U+3461","즉",,,,,,,
"㑢","U+3462","각",,,,,,,
"㑣","U+3463","람","남",,,,,,
"㑤","U+3464","모",,,,,,,
"㑥","U+3465","이",,,,,,,
"㑦","U+3466","려","여",,,,,,
"㑧","U+3467","계",,,,,,,
"㑨","U+3468","후",,,,,,,
"㑩","U+3469","라","나",,,,,,
"㑪","U+346A","제",,,,,,,
"㑫","U+346B","기",,,,,,,
"㑬","U+346C","고",,,,,,,
"㑭","U+346D","비",,,,,,,
"㑮","U+346E","혼",,,,,,,
"㑯","U+346F","수",,,,,,,
"㑰","U+3470","훼",,,,,,,
"㑱","U+3471","요",,,,,,,
"㑳","U+3473","추",,,,,,,
"㑴","U+3474","침",,,,,,,
"㑵","U+3475","질",,,,,,,
"㑶","U+3476","희",,,,,,,
"㑷","U+3477","태",,,,,,,
"㑸","U+3478","요",,,,,,,
"㑹","U+3479","회",,,,,,,
"㑺","U+347A","준",,,,,,,
"㑻","U+347B","말",,,,,,,
