# Document Name:	Normal_char.txt.
# Format:		Unicode.
#
# Contents:		Table of the Unified CJK Characters 
#			(20902 and Extension A) and HKSCS Characters. 
#			(Excl. simplified Chinese Characters, Singapore
#			Characters, Japanese/Korean/Vietnamese only 
#			Characters)		
#
# UCODE:		Unicode, The ExtA and 20902 Characters are with 
#			"0-xxxx" and rest are with "2-xxxx".
#			A few characters are with "X-xxxx".  Those 
#			characters has no SuperCJK_111 code yet.
# UCS3:		UCS3.0, similar with Unicode, but the "2-xxxx"/"X-xxxx" 
#			are replaced with PUA unicodes.
# HKSCS:		0 = is hkscs character, 
#			1 = is NOT hkscs character.
# COMPLIST:		The decomposition serial of the character,  
#			The serial consists of the CC-codes of the 
#			basic Hong Kong components separated by "/".
#			(see  Hong Kong Kai/Song Basic Components Table)
#
# UPDATED:		3 April 2002

Ucode	UCS3	HKSCS	COMPLIST
0-3400	3400	1	1_2EC0/0_2F00
0-3401	3401	1	2_AEB5
0-3405	3405	1	5_01101
0-3406	3406	1	3_0330
0-340C	340C	1	2_FE52/3_0308
0-3416	3416	1	0_2F20/0_2F1D/1_2E83
0-341C	341C	1	5_04231/3_0339
0-3421	3421	1	3_0339/0_2F7D/5_2F241
0-3424	3424	1	3_0339/0_2F17/3_0295/5_4E371
0-3428	3428	1	3_0412/3_0412
0-3429	3429	1	3_0458/3_0458
0-342B	342B	1	0_2F07/0_2F10/5_01101
0-342C	342C	1	0_2F07/0_2F1B/5_AAEB1
0-342D	342D	1	0_2F07/0_2F1E/0_2F1D
0-342E	342E	1	0_2F90/3_0003/2_ABF4
0-3430	3430	1	1_2E85/0_2F1D
0-3431	3431	1	0_2F08/0_2F3A
0-3432	3432	1	1_2E85/0_2F24
0-3433	3433	1	1_2E85/1_2E8E
0-3434	3434	1	1_2E85/0_2F23
0-3436	3436	1	1_2E85/1_2E92
0-3438	3438	1	1_2E85/3_0165/0_2F08
0-3439	3439	1	1_2E85/0_2F53
0-343A	343A	1	1_2E85/1_2E85/0_2F08
0-343B	343B	1	1_2E85/3_0311
0-343C	343C	1	1_2E85/0_2F03/0_2F36
0-3441	3441	1	1_2E85/0_2F2D/0_2F2D
0-3442	3442	1	1_2E85/0_2F00/3_0311
0-3443	3443	1	1_2E85/0_2F33/0_2F12
0-3444	3444	1	1_2E85/1_2E9F
0-3445	3445	1	1_2E85/2_FE52/3_0316
0-3449	3449	1	1_2E85/1_2E87/0_2F4D
0-344A	344A	1	1_2E85/0_2F07/2_AEC2
0-344B	344B	1	1_2E85/3_0357
0-344C	344C	0	1_2E85/0_2F15/3_0072
0-344D	344D	1	1_2E85/0_2F7E
0-344E	344E	1	1_2E85/0_2F2E/0_2F2D
